direction	spBLEU	chrF++	len_ratio
ayr_Latn-mya_Mymr	6.27	18.11	0.785
grn_Latn-kbp_Latn	7.66	24.58	1.099
vec_Latn-mya_Mymr	11.61	25.60	0.850
kin_Latn-acm_Arab	5.52	20.33	1.660
ibo_Latn-tat_Cyrl	16.91	34.36	0.909
aka_Latn-shn_Mymr	9.33	28.43	0.941
quy_Latn-ibo_Latn	7.86	25.19	1.025
sin_Sinh-mal_Mlym	27.33	42.31	0.954
heb_Hebr-amh_Ethi	23.64	32.92	1.038
kir_Cyrl-ary_Arab	7.06	22.66	1.343
kaz_Cyrl-heb_Hebr	26.90	43.13	0.981
quy_Latn-bjn_Latn	7.12	28.40	1.038
kan_Knda-kbp_Latn	8.45	24.95	1.057
rus_Cyrl-xho_Latn	16.57	40.83	1.035
slv_Latn-bug_Latn	6.53	29.72	1.043
fuv_Latn-ilo_Latn	9.30	32.34	1.012
kab_Latn-nld_Latn	14.25	36.37	0.994
knc_Latn-ces_Latn	9.12	26.05	1.065
uig_Arab-por_Latn	24.71	45.37	0.964
sna_Latn-jpn_Jpan	10.98	16.68	0.942
cjk_Latn-khk_Cyrl	6.48	20.05	0.986
tha_Thai-ces_Latn	23.90	41.66	0.977
lua_Latn-dzo_Tibt	5.74	25.09	1.045
lin_Latn-kon_Latn	16.13	43.65	1.029
bak_Cyrl-srd_Latn	22.03	44.51	1.018
lvs_Latn-yue_Hant	9.43	12.65	0.916
hat_Latn-awa_Deva	12.46	28.72	1.029
bho_Deva-aka_Latn	9.42	31.47	0.956
plt_Latn-ydd_Hebr	9.93	29.35	0.960
azj_Latn-kas_Arab	10.66	25.13	1.037
taq_Tfng-bjn_Arab	3.12	14.50	1.147
hat_Latn-bos_Latn	26.12	46.56	0.934
kmb_Latn-lua_Latn	5.72	28.40	1.031
amh_Ethi-ewe_Latn	12.21	34.70	1.047
fur_Latn-luo_Latn	11.47	35.65	1.033
uig_Arab-sag_Latn	8.11	33.18	1.001
hun_Latn-arz_Arab	20.33	36.11	1.040
tum_Latn-isl_Latn	14.40	31.67	0.946
bem_Latn-apc_Arab	15.36	30.90	1.012
dik_Latn-glg_Latn	9.54	26.34	0.891
luo_Latn-bem_Latn	7.02	29.43	0.879
apc_Arab-knc_Latn	4.26	23.05	1.064
eus_Latn-spa_Latn	25.56	47.31	0.909
lus_Latn-acq_Arab	10.93	25.42	1.052
sun_Latn-fon_Latn	4.72	18.25	1.096
bem_Latn-gaz_Latn	6.59	29.69	1.030
kor_Hang-oci_Latn	23.08	43.71	0.935
tur_Latn-azj_Latn	22.25	41.11	0.919
ary_Arab-ssw_Latn	11.00	35.34	1.030
slk_Latn-swh_Latn	26.08	50.04	1.005
taq_Tfng-isl_Latn	4.94	19.40	0.923
kam_Latn-taq_Latn	2.66	17.07	0.928
sna_Latn-bel_Cyrl	15.32	30.48	0.841
gle_Latn-ars_Arab	25.14	40.71	0.935
umb_Latn-npi_Deva	6.26	17.59	0.756
tum_Latn-bjn_Arab	3.46	14.90	1.216
jav_Latn-bam_Latn	7.48	27.86	1.043
pap_Latn-fuv_Latn	3.92	20.80	1.126
afr_Latn-uig_Arab	16.27	33.06	1.087
ces_Latn-kaz_Cyrl	25.67	44.38	0.976
acm_Arab-glg_Latn	26.40	49.36	0.977
sat_Beng-knc_Arab	4.27	9.49	1.204
bho_Deva-azb_Arab	3.90	22.74	1.197
ilo_Latn-knc_Arab	4.31	9.48	1.170
hye_Armn-cat_Latn	33.82	53.68	0.997
zho_Hant-nus_Latn	7.14	21.33	1.314
scn_Latn-uig_Arab	20.93	36.76	1.036
mkd_Cyrl-dan_Latn	35.47	55.99	0.977
gla_Latn-pan_Guru	22.71	37.14	0.976
nya_Latn-tir_Ethi	10.78	18.09	0.945
kor_Hang-nya_Latn	12.12	39.08	1.011
bul_Cyrl-lmo_Latn	6.48	28.71	0.915
kat_Geor-npi_Deva	19.97	38.31	1.012
est_Latn-yue_Hant	10.02	13.08	0.904
lit_Latn-ewe_Latn	11.76	34.22	1.051
tgl_Latn-kik_Latn	12.84	34.80	0.945
tgl_Latn-snd_Arab	23.66	40.52	1.018
npi_Deva-mkd_Cyrl	28.41	49.88	0.956
oci_Latn-swh_Latn	34.04	56.97	1.011
glg_Latn-hat_Latn	23.89	47.49	1.039
smo_Latn-ajp_Arab	16.97	33.94	1.062
uig_Arab-kor_Hang	16.45	24.73	0.960
npi_Deva-mos_Latn	3.99	21.87	1.175
twi_Latn-ayr_Latn	4.81	25.39	1.111
glg_Latn-lus_Latn	13.41	35.41	0.953
dyu_Latn-taq_Tfng	4.14	14.04	0.911
ydd_Hebr-kin_Latn	18.77	42.61	1.030
eng_Latn-bos_Latn	39.22	58.02	0.958
hin_Deva-gla_Latn	19.27	42.80	0.970
lim_Latn-nya_Latn	14.96	40.73	0.979
mni_Beng-som_Latn	10.25	33.71	1.021
kik_Latn-arz_Arab	6.53	20.98	1.544
bam_Latn-kea_Latn	10.62	29.20	1.014
san_Deva-sin_Sinh	22.53	32.10	0.939
uig_Arab-ukr_Cyrl	20.35	39.37	0.933
szl_Latn-fao_Latn	21.55	41.42	0.994
lmo_Latn-vie_Latn	30.45	48.46	0.988
uig_Arab-deu_Latn	21.79	43.35	0.935
ind_Latn-ssw_Latn	16.65	40.23	1.019
mya_Mymr-fin_Latn	19.18	40.72	0.937
kmr_Latn-ast_Latn	12.68	32.80	1.045
crh_Latn-mri_Latn	16.35	40.03	0.943
szl_Latn-min_Latn	18.92	43.90	1.011
kaz_Cyrl-eus_Latn	11.70	32.62	0.848
mar_Deva-ces_Latn	26.18	44.14	0.968
ltg_Latn-vie_Latn	30.63	49.56	0.982
hrv_Latn-crh_Latn	19.68	39.81	0.938
lug_Latn-ace_Arab	3.72	14.84	1.108
khm_Khmr-eus_Latn	11.43	32.07	0.881
bul_Cyrl-ltz_Latn	26.88	48.18	0.980
bho_Deva-grn_Latn	12.15	32.84	1.029
hye_Armn-dzo_Tibt	9.30	31.37	1.066
taq_Latn-umb_Latn	2.63	21.73	0.964
bem_Latn-bam_Latn	6.76	26.19	1.008
eng_Latn-awa_Deva	22.92	41.57	1.009
nob_Latn-kea_Latn	20.28	41.79	0.971
sin_Sinh-tel_Telu	29.77	45.50	0.976
dan_Latn-hye_Armn	32.04	46.83	0.957
slv_Latn-gle_Latn	24.29	44.86	0.986
npi_Deva-fij_Latn	18.76	43.35	1.012
knc_Arab-cjk_Latn	0.72	13.62	1.118
fur_Latn-san_Deva	5.42	23.53	1.120
srd_Latn-tpi_Latn	17.32	42.08	0.813
bho_Deva-zho_Hant	14.75	14.57	0.899
azb_Arab-pan_Guru	17.33	30.99	0.994
kea_Latn-kik_Latn	10.76	31.30	0.973
kea_Latn-snd_Arab	22.01	39.71	1.021
cym_Latn-aka_Latn	10.27	31.42	0.927
bug_Latn-uzn_Latn	13.37	31.79	0.925
lus_Latn-dyu_Latn	1.92	15.59	0.884
asm_Beng-kan_Knda	26.38	42.79	0.967
hrv_Latn-npi_Deva	22.09	40.05	0.995
hin_Deva-mni_Beng	23.07	34.56	1.002
hin_Deva-scn_Latn	10.87	33.38	0.943
slv_Latn-nld_Latn	27.39	49.02	0.996
heb_Hebr-ssw_Latn	15.19	39.84	1.024
aeb_Arab-tuk_Latn	12.17	32.56	0.936
kas_Deva-kas_Arab	13.15	28.07	1.012
khm_Khmr-hau_Latn	19.55	43.47	1.028
tzm_Tfng-aka_Latn	5.90	25.80	0.968
zho_Hant-glg_Latn	21.57	44.51	1.001
ron_Latn-mai_Deva	16.18	36.22	1.035
sat_Beng-kir_Cyrl	9.43	26.78	1.038
ilo_Latn-kir_Cyrl	19.55	37.04	0.976
azb_Arab-hye_Armn	18.00	33.93	0.933
kmr_Latn-vec_Latn	11.14	33.82	0.979
kin_Latn-yor_Latn	9.65	24.24	1.134
acm_Arab-nus_Latn	10.33	25.39	1.125
guj_Gujr-smo_Latn	21.72	45.63	0.948
pol_Latn-run_Latn	14.58	37.68	1.066
mri_Latn-swe_Latn	21.73	42.29	1.002
kaz_Cyrl-hau_Latn	19.02	43.09	1.005
dan_Latn-pan_Guru	30.08	43.71	0.989
kmr_Latn-rus_Cyrl	21.01	38.96	0.929
ita_Latn-smo_Latn	20.37	44.65	0.962
ace_Arab-twi_Latn	4.26	22.73	1.074
aka_Latn-san_Deva	3.62	18.47	1.091
guj_Gujr-mlt_Latn	33.06	50.55	0.995
mya_Mymr-dan_Latn	25.46	47.24	0.975
kas_Arab-ltg_Latn	17.80	37.56	1.004
dyu_Latn-mkd_Cyrl	7.72	24.25	0.908
tgk_Cyrl-tgl_Latn	24.44	50.51	0.971
san_Deva-kab_Latn	7.21	25.33	1.087
dyu_Latn-mos_Latn	2.68	17.11	1.056
rus_Cyrl-ban_Latn	11.11	36.91	1.057
ita_Latn-mlt_Latn	31.91	49.97	1.022
npi_Deva-taq_Tfng	6.38	17.54	0.950
cat_Latn-mag_Deva	25.17	45.09	1.009
knc_Arab-als_Latn	2.20	15.31	0.968
kat_Geor-crh_Latn	17.90	38.38	0.967
mkd_Cyrl-fin_Latn	25.89	47.10	0.946
slv_Latn-jav_Latn	18.88	44.33	0.973
ukr_Cyrl-ars_Arab	26.60	42.05	0.944
tuk_Latn-hrv_Latn	23.88	45.05	0.993
bug_Latn-dik_Latn	3.77	19.52	1.322
jpn_Jpan-arz_Arab	17.29	33.25	1.028
sna_Latn-hne_Deva	14.89	31.80	0.949
tuk_Latn-pbt_Arab	14.90	31.71	1.033
awa_Deva-run_Latn	14.15	37.29	1.049
est_Latn-ilo_Latn	20.64	46.36	0.966
taq_Tfng-lvs_Latn	4.11	20.04	1.002
slk_Latn-guj_Gujr	27.24	44.02	1.000
mag_Deva-oci_Latn	30.13	50.53	0.940
ajp_Arab-ace_Arab	5.23	17.78	1.097
mlt_Latn-bho_Deva	17.86	36.38	0.973
aeb_Arab-nno_Latn	15.09	37.56	0.968
nya_Latn-tha_Thai	21.52	31.53	0.880
tum_Latn-ory_Orya	14.08	27.73	0.965
ckb_Arab-azj_Latn	17.18	36.40	0.900
swh_Latn-ajp_Arab	22.31	39.05	1.023
ewe_Latn-cym_Latn	15.84	32.82	0.935
shn_Mymr-aka_Latn	8.84	29.94	0.960
lij_Latn-fur_Latn	33.96	53.56	1.013
oci_Latn-guj_Gujr	29.51	47.07	1.023
tat_Cyrl-fon_Latn	3.92	17.86	1.182
apc_Arab-dyu_Latn	1.91	17.47	0.969
kmr_Latn-lij_Latn	11.73	27.94	1.070
kir_Cyrl-ceb_Latn	18.72	43.61	0.928
gla_Latn-hye_Armn	23.37	39.45	0.946
fon_Latn-sot_Latn	6.66	27.29	0.950
nus_Latn-szl_Latn	9.55	25.94	1.021
dyu_Latn-fij_Latn	8.39	29.38	0.954
szl_Latn-khk_Cyrl	18.20	36.13	1.007
kab_Latn-bug_Latn	4.12	26.09	1.072
ron_Latn-tur_Latn	30.90	49.98	0.974
tsn_Latn-kas_Deva	3.31	14.48	0.888
yue_Hant-kas_Deva	3.17	14.51	0.868
umb_Latn-crh_Latn	6.04	22.55	0.867
asm_Beng-fur_Latn	21.71	41.92	0.969
yue_Hant-mai_Deva	11.84	30.68	0.996
tsn_Latn-mai_Deva	12.88	29.13	0.992
pes_Arab-tuk_Latn	16.42	35.85	0.927
twi_Latn-srp_Cyrl	15.53	33.68	0.927
mag_Deva-nya_Latn	15.09	41.99	0.983
uzn_Latn-ben_Beng	24.44	39.36	0.988
acq_Arab-mlt_Latn	30.29	48.70	1.027
als_Latn-fra_Latn	42.24	59.58	0.982
lao_Laoo-kmr_Latn	13.97	33.35	1.001
taq_Tfng-ory_Orya	4.79	15.68	1.074
fao_Latn-tat_Cyrl	19.74	37.72	0.956
tel_Telu-pap_Latn	25.25	46.95	0.966
shn_Mymr-azb_Arab	2.65	19.50	1.288
bjn_Arab-spa_Latn	10.13	30.39	1.010
ceb_Latn-vie_Latn	34.54	52.19	0.971
ell_Grek-kat_Geor	28.40	44.02	0.956
khk_Cyrl-taq_Latn	3.00	19.74	1.000
kir_Cyrl-afr_Latn	19.40	42.89	0.926
zsm_Latn-vie_Latn	35.38	53.17	0.965
als_Latn-slv_Latn	28.28	48.71	0.975
acq_Arab-smo_Latn	18.82	43.21	0.969
srd_Latn-uig_Arab	21.44	37.62	1.033
nno_Latn-ita_Latn	27.71	49.22	0.938
ace_Latn-sun_Latn	14.56	36.98	1.026
ars_Arab-fon_Latn	4.17	19.14	1.144
cym_Latn-zho_Hant	11.28	12.99	0.649
fij_Latn-kmb_Latn	3.48	22.59	0.910
aka_Latn-luo_Latn	9.84	32.02	1.010
isl_Latn-kon_Latn	13.66	40.88	1.055
ban_Latn-kat_Geor	24.36	39.65	0.950
dzo_Tibt-mos_Latn	2.53	19.82	1.165
war_Latn-fao_Latn	20.61	40.20	0.994
dzo_Tibt-mkd_Cyrl	12.70	33.98	0.915
glg_Latn-lin_Latn	18.19	45.90	1.061
tzm_Tfng-grn_Latn	7.96	27.09	1.062
tum_Latn-lvs_Latn	11.71	31.67	0.986
tir_Ethi-mya_Mymr	12.77	27.42	0.864
lvs_Latn-ilo_Latn	19.71	45.54	0.971
kab_Latn-gle_Latn	14.31	34.90	1.013
deu_Latn-azj_Latn	21.04	39.96	0.926
war_Latn-min_Latn	19.65	43.95	1.022
fra_Latn-run_Latn	16.70	40.12	1.075
mni_Beng-bod_Tibt	4.28	25.01	1.133
cym_Latn-grn_Latn	12.64	32.16	1.021
tpi_Latn-zho_Hans	17.10	15.86	0.913
tzm_Tfng-zho_Hant	7.65	9.33	0.924
jav_Latn-epo_Latn	28.03	48.90	0.987
fon_Latn-ltg_Latn	6.96	23.17	0.976
ary_Arab-amh_Ethi	18.33	27.18	1.026
pes_Arab-nno_Latn	17.24	39.30	0.946
mai_Deva-gla_Latn	19.83	42.82	0.985
tso_Latn-ace_Latn	7.32	30.58	1.038
scn_Latn-tpi_Latn	16.74	41.47	0.819
zho_Hans-zul_Latn	17.70	41.55	1.031
gle_Latn-lao_Laoo	22.61	39.36	0.937
fuv_Latn-yue_Hant	5.27	7.11	1.023
dik_Latn-nus_Latn	8.26	21.06	1.044
shn_Mymr-zho_Hant	11.34	12.91	0.920
khm_Khmr-sna_Latn	14.62	38.23	0.989
kbp_Latn-guj_Gujr	12.21	26.13	0.999
ces_Latn-quy_Latn	4.05	25.78	1.058
kmr_Latn-nso_Latn	16.52	40.30	1.007
shn_Mymr-grn_Latn	9.80	29.63	1.094
bem_Latn-epo_Latn	21.32	41.77	0.992
tzm_Tfng-azb_Arab	2.14	18.42	1.308
lao_Laoo-ron_Latn	28.25	47.46	0.959
twi_Latn-pag_Latn	12.81	36.78	1.103
nld_Latn-slk_Latn	26.23	44.96	0.956
cjk_Latn-min_Latn	6.59	27.05	1.055
fur_Latn-shn_Mymr	12.49	32.36	0.956
dzo_Tibt-fij_Latn	13.07	37.54	0.970
bos_Latn-vie_Latn	34.80	53.22	0.970
kaz_Cyrl-sna_Latn	14.46	38.46	0.963
sin_Sinh-est_Latn	21.86	43.71	0.931
yue_Hant-tur_Latn	22.65	42.87	0.944
tsn_Latn-tur_Latn	19.84	38.74	0.951
ron_Latn-kas_Deva	4.10	16.24	0.957
lij_Latn-kan_Knda	26.58	43.00	1.012
ind_Latn-amh_Ethi	24.09	32.57	1.027
afr_Latn-tpi_Latn	17.81	42.47	0.862
sna_Latn-tgk_Cyrl	17.58	34.53	0.867
kas_Arab-sot_Latn	12.26	36.94	0.973
nno_Latn-pap_Latn	27.08	49.00	0.969
tel_Telu-ita_Latn	26.62	48.04	0.925
cym_Latn-azb_Arab	3.46	20.70	1.139
cjk_Latn-fao_Latn	6.80	24.28	0.985
nob_Latn-tum_Latn	10.77	33.26	0.831
gaz_Latn-kas_Arab	9.58	22.53	1.003
san_Deva-kam_Latn	2.49	21.02	1.227
quy_Latn-fuv_Latn	2.29	16.22	1.151
ceb_Latn-tso_Latn	21.46	46.20	1.041
fon_Latn-mar_Deva	8.24	22.00	0.967
pol_Latn-ltz_Latn	21.95	43.16	0.991
zsm_Latn-tso_Latn	20.60	45.28	1.028
mni_Beng-dyu_Latn	2.12	16.82	0.969
bel_Cyrl-ast_Latn	16.46	41.22	1.034
kmb_Latn-guj_Gujr	11.03	23.76	0.929
cjk_Latn-gle_Latn	8.29	26.20	0.989
plt_Latn-taq_Tfng	6.19	17.39	0.939
guj_Gujr-ory_Orya	27.51	43.59	0.985
hat_Latn-san_Deva	5.21	21.94	1.019
mkd_Cyrl-tgk_Cyrl	28.97	45.58	0.925
ita_Latn-ory_Orya	23.45	38.79	1.005
dan_Latn-npi_Deva	24.32	43.13	1.015
srd_Latn-quy_Latn	4.61	27.67	1.168
pes_Arab-ace_Arab	5.34	17.68	1.113
nso_Latn-ast_Latn	19.04	40.43	0.991
lmo_Latn-ind_Latn	30.50	54.39	1.004
mal_Mlym-sna_Latn	15.22	39.27	0.963
azb_Arab-crh_Latn	11.76	31.28	0.984
luo_Latn-ayr_Latn	4.52	24.61	1.031
eng_Latn-luo_Latn	14.96	38.99	0.972
lua_Latn-cjk_Latn	2.34	19.83	0.963
ory_Orya-bjn_Latn	13.80	39.57	1.021
jav_Latn-khm_Khmr	16.86	31.71	0.884
deu_Latn-ars_Arab	27.31	42.75	0.932
bak_Cyrl-xho_Latn	15.81	40.18	1.025
nld_Latn-kir_Cyrl	18.72	36.24	0.983
bem_Latn-kac_Latn	10.82	33.49	0.915
nus_Latn-est_Latn	9.49	29.20	0.964
ory_Orya-ibo_Latn	16.04	36.83	0.991
mya_Mymr-jpn_Jpan	11.70	18.77	0.934
ltg_Latn-ind_Latn	29.81	55.04	0.992
cat_Latn-pol_Latn	27.43	44.98	0.957
hrv_Latn-pan_Guru	27.06	40.67	0.970
awa_Deva-lmo_Latn	6.36	28.43	0.927
bam_Latn-tum_Latn	8.14	28.95	0.859
bam_Latn-sag_Latn	8.06	31.90	1.032
tur_Latn-lao_Laoo	23.52	39.69	0.940
kat_Geor-hye_Armn	27.22	42.65	0.961
kab_Latn-fao_Latn	13.03	32.51	0.989
tum_Latn-mlt_Latn	12.68	32.65	1.050
pol_Latn-lmo_Latn	6.31	27.67	0.928
dzo_Tibt-ydd_Hebr	6.41	24.65	0.951
ewe_Latn-tha_Thai	15.39	25.66	0.844
sot_Latn-ast_Latn	18.89	40.54	1.008
jav_Latn-kac_Latn	12.72	35.59	0.931
rus_Cyrl-srd_Latn	23.54	46.80	1.053
ibo_Latn-twi_Latn	10.93	32.60	0.952
kam_Latn-tzm_Tfng	9.40	20.09	0.952
tum_Latn-smo_Latn	15.58	38.36	0.948
bem_Latn-khm_Khmr	12.36	27.61	0.912
ydd_Hebr-sat_Beng	16.94	25.61	0.955
crh_Latn-kas_Deva	3.77	15.70	0.949
kab_Latn-min_Latn	11.43	35.21	1.038
war_Latn-gle_Latn	26.01	45.40	0.979
afr_Latn-kaz_Cyrl	26.36	45.06	0.980
nob_Latn-por_Latn	35.18	54.83	0.987
ssw_Latn-ajp_Arab	15.66	31.47	1.014
ces_Latn-uig_Arab	13.29	29.37	1.056
bam_Latn-por_Latn	16.60	35.50	1.007
acq_Arab-lvs_Latn	20.66	43.45	0.993
hun_Latn-kmb_Latn	3.70	23.52	0.917
kon_Latn-knc_Arab	4.24	9.21	1.119
mya_Mymr-lim_Latn	9.87	31.94	0.944
scn_Latn-kaz_Cyrl	21.66	40.66	0.971
xho_Latn-taq_Tfng	6.31	17.40	0.914
gla_Latn-crh_Latn	15.54	35.53	0.940
vie_Latn-urd_Arab	21.78	40.46	1.010
bos_Latn-tso_Latn	19.41	44.89	1.041
hau_Latn-kas_Arab	11.00	24.44	0.986
zho_Hans-ewe_Latn	10.45	32.95	1.115
nya_Latn-cym_Latn	23.38	40.86	0.962
awa_Deva-ltz_Latn	22.80	43.98	0.975
san_Deva-lug_Latn	6.09	30.16	1.148
umb_Latn-hye_Armn	9.67	23.04	0.821
tgl_Latn-bho_Deva	17.36	35.25	0.986
nob_Latn-sag_Latn	9.80	34.78	1.000
ajp_Arab-nno_Latn	16.41	39.28	0.973
aeb_Arab-ace_Arab	5.10	17.68	1.125
hin_Deva-uzn_Latn	21.63	43.94	0.973
szl_Latn-jav_Latn	16.11	41.95	1.060
knc_Arab-dzo_Tibt	1.63	15.96	1.312
ary_Arab-pap_Latn	21.02	42.50	0.961
ydd_Hebr-pes_Arab	23.86	41.55	0.992
fur_Latn-bos_Latn	29.29	49.80	0.994
kas_Arab-mar_Deva	18.86	36.82	0.956
bug_Latn-mni_Beng	15.17	26.24	0.979
hat_Latn-luo_Latn	10.99	34.17	0.967
kir_Cyrl-war_Latn	17.22	42.11	0.921
bug_Latn-scn_Latn	8.96	28.78	0.956
hye_Armn-cjk_Latn	1.98	21.30	1.081
bos_Latn-ell_Grek	31.72	46.32	0.931
bam_Latn-kor_Hang	9.26	15.84	1.064
war_Latn-bug_Latn	7.07	29.80	1.050
als_Latn-asm_Beng	17.94	32.47	1.011
fra_Latn-ltz_Latn	28.04	48.82	0.989
pap_Latn-bjn_Latn	17.59	43.34	1.015
sin_Sinh-szl_Latn	19.61	37.24	0.934
taq_Tfng-smo_Latn	7.33	26.49	1.024
tel_Telu-amh_Ethi	25.54	34.36	1.027
sna_Latn-fin_Latn	16.98	37.41	0.906
nob_Latn-kor_Hang	19.04	27.54	0.997
acq_Arab-ory_Orya	18.39	34.94	1.016
crh_Latn-mai_Deva	13.17	33.23	1.026
eng_Latn-san_Deva	7.06	25.61	1.060
ind_Latn-ita_Latn	28.89	49.73	0.932
taq_Tfng-mlt_Latn	7.33	20.96	1.046
eus_Latn-kmr_Latn	13.57	33.01	0.976
slv_Latn-khk_Cyrl	18.39	36.06	0.961
lus_Latn-bod_Tibt	3.67	22.91	1.075
pap_Latn-ibo_Latn	16.96	37.79	0.990
fur_Latn-awa_Deva	14.12	33.68	1.079
mkd_Cyrl-hne_Deva	21.55	42.10	0.982
isl_Latn-lus_Latn	11.04	32.13	0.976
isl_Latn-hat_Latn	18.55	40.83	1.006
cjk_Latn-bug_Latn	3.98	22.46	1.033
nno_Latn-amh_Ethi	23.43	32.30	1.017
nob_Latn-deu_Latn	31.40	51.64	0.966
eus_Latn-ron_Latn	27.86	47.60	0.923
szl_Latn-nld_Latn	27.61	49.11	0.996
ilo_Latn-slk_Latn	24.47	43.12	0.958
knc_Arab-cat_Latn	3.52	16.82	1.045
sat_Beng-slk_Latn	10.59	28.21	0.976
ast_Latn-swe_Latn	33.77	53.40	0.948
ajp_Arab-tuk_Latn	12.23	33.26	0.968
crh_Latn-tur_Latn	28.18	48.15	0.957
ukr_Cyrl-azj_Latn	21.39	40.09	0.923
ita_Latn-lvs_Latn	23.01	45.20	0.995
apc_Arab-bod_Tibt	5.41	27.03	1.079
kik_Latn-kmb_Latn	2.14	19.34	0.901
hin_Deva-dik_Latn	3.91	20.65	1.312
dyu_Latn-ydd_Hebr	4.16	19.67	0.993
bjn_Latn-ajp_Arab	21.25	37.70	0.998
spa_Latn-yue_Hant	9.93	12.49	0.915
san_Deva-nob_Latn	15.52	38.13	0.956
fra_Latn-lmo_Latn	7.67	30.29	0.915
als_Latn-plt_Latn	19.76	45.98	1.019
ind_Latn-pap_Latn	28.20	49.47	0.960
guj_Gujr-lvs_Latn	21.65	44.26	0.968
nob_Latn-ukr_Cyrl	25.05	43.96	0.969
fin_Latn-taq_Latn	3.58	21.20	0.986
ary_Arab-ita_Latn	22.29	44.01	0.921
ceb_Latn-ell_Grek	29.16	43.87	0.924
bam_Latn-ukr_Cyrl	12.32	29.01	0.972
mal_Mlym-hau_Latn	19.27	43.66	1.042
uig_Arab-kea_Latn	13.58	34.77	0.957
por_Latn-ajp_Arab	26.81	43.29	1.009
ckb_Arab-ars_Arab	22.82	38.75	0.903
bho_Deva-zho_Hans	20.71	17.79	0.945
arz_Arab-swe_Latn	28.09	49.21	1.000
twi_Latn-bem_Latn	7.28	29.21	0.900
zsm_Latn-ell_Grek	29.48	44.41	0.917
mya_Mymr-bel_Cyrl	17.77	33.25	0.875
swe_Latn-kat_Geor	30.40	45.60	0.949
kin_Latn-ckb_Arab	15.23	35.56	0.991
vie_Latn-prs_Arab	21.46	42.57	1.020
bam_Latn-deu_Latn	13.01	33.41	0.974
tam_Taml-luo_Latn	10.80	34.62	1.000
gaz_Latn-min_Latn	12.36	36.40	1.043
kon_Latn-tso_Latn	12.62	35.32	0.944
ast_Latn-hau_Latn	21.88	44.57	0.990
hye_Armn-smo_Latn	20.51	44.89	0.952
kmr_Latn-lit_Latn	17.14	38.22	0.958
kik_Latn-tir_Ethi	5.97	13.66	1.423
oci_Latn-jpn_Jpan	16.77	23.29	1.007
apc_Arab-kaz_Cyrl	18.92	41.42	0.996
mag_Deva-grn_Latn	13.88	34.88	1.007
smo_Latn-bho_Deva	13.35	30.63	0.955
lvs_Latn-hat_Latn	20.41	44.11	1.035
bam_Latn-mag_Deva	11.66	27.55	1.049
hye_Armn-mlt_Latn	32.76	50.18	1.012
lvs_Latn-lus_Latn	11.14	33.36	0.979
bod_Tibt-eus_Latn	7.67	27.32	0.902
lao_Laoo-mya_Mymr	13.67	28.28	0.871
acm_Arab-est_Latn	20.46	43.43	0.982
ace_Latn-lao_Laoo	18.39	33.94	0.914
gaz_Latn-fao_Latn	13.17	32.71	0.995
dyu_Latn-xho_Latn	5.68	22.56	1.004
bos_Latn-knc_Arab	4.19	9.38	1.167
sot_Latn-epo_Latn	27.32	47.86	0.996
ckb_Arab-tsn_Latn	18.11	42.05	0.984
mag_Deva-zho_Hant	17.29	16.44	0.926
ary_Arab-ltg_Latn	16.69	36.05	1.006
fon_Latn-amh_Ethi	8.55	14.92	1.002
ssw_Latn-snd_Arab	16.18	31.55	0.960
ssw_Latn-kik_Latn	9.41	30.33	0.870
arz_Arab-hau_Latn	18.00	42.85	1.022
hne_Deva-ary_Arab	16.38	33.25	1.018
prs_Arab-san_Deva	5.38	23.45	1.076
tzm_Tfng-nya_Latn	7.74	31.82	1.029
ace_Arab-urd_Arab	7.88	22.95	1.078
tir_Ethi-kmr_Latn	11.04	30.13	0.975
arb_Arab-luo_Latn	11.09	35.32	0.998
mal_Mlym-swe_Latn	29.96	50.43	0.966
run_Latn-fuv_Latn	3.36	19.58	1.165
nob_Latn-mag_Deva	22.47	42.44	1.009
taq_Tfng-cjk_Latn	1.26	17.58	1.054
cym_Latn-nya_Latn	16.15	42.49	0.986
snd_Arab-ary_Arab	13.46	30.68	1.050
azj_Latn-jav_Latn	15.29	41.48	0.994
kas_Deva-bug_Latn	4.38	26.49	1.118
yue_Hant-acm_Arab	13.26	30.21	1.119
tsn_Latn-acm_Arab	0.87	9.51	2.143
hin_Deva-sat_Beng	18.93	27.18	0.942
kac_Latn-san_Deva	3.24	17.12	1.092
slk_Latn-jpn_Jpan	14.05	21.04	0.919
mag_Deva-azb_Arab	4.28	23.54	1.175
lij_Latn-bos_Latn	28.28	48.84	0.995
nso_Latn-epo_Latn	27.08	47.23	0.978
crh_Latn-zsm_Latn	27.26	52.69	1.002
zho_Hant-mal_Mlym	22.79	37.70	1.008
knc_Arab-isl_Latn	2.35	14.09	0.973
mar_Deva-eng_Latn	42.07	62.50	0.987
swe_Latn-nob_Latn	32.88	54.42	0.969
sun_Latn-ben_Beng	25.25	39.88	0.977
oci_Latn-lim_Latn	17.01	40.57	1.003
tir_Ethi-ron_Latn	21.00	40.64	0.927
kab_Latn-kas_Arab	8.27	21.01	1.031
shn_Mymr-nya_Latn	11.89	36.95	1.011
bel_Cyrl-epo_Latn	19.96	43.02	1.054
slk_Latn-lim_Latn	14.72	38.12	0.966
lus_Latn-kaz_Cyrl	13.44	30.47	0.965
zsm_Latn-knc_Arab	4.31	9.47	1.163
